Name Of The Course ,Institute,Number of learners,Link,Description,Type,Category
html5 game development lessons and development planning revised, Channel 9,"4,310",https://alison.com/course/html5-game-development-lessons-and-development-planning-revised#l-main-pub,"Identify updates and tools for your visual studio develo,  Explain the importance of making effective plans for dev,  Discuss topics and issues you will need to ad", Certification course,business
procrastination solution beat procrastination, Advanced Ideas,"5,316",https://alison.com/course/procrastination-solution-beat-procrastination#l-main-pub,"Discuss the positive and negative results that come from,  State the system procrastination uses to get you to mism,  Describe better ways to complete an assignmen", Certification course,personal-development
how to run productive and creative meetings, Stone River eLearning,"1,458",https://alison.com/course/how-to-run-productive-and-creative-meetings#l-main-pub,"Discuss the importance of encouraging creativity in- and,  Explain how to use the opposite and ?And/Or? exercises t,  Outline seven different types of meetings and", Certification course,business
a beginner s guide to mongodb, Stone River eLearning,"1,375",https://alison.com/course/a-beginner-s-guide-to-mongodb#l-main-pub,"Describe the utilities required to deploy with MongoDB,  Outline the steps to construct an environment for workin,  Define the installation and setup of the MongoDB server ,  Identify the primary commands for C.R.U.D. op", Certification course,Information Technology
business networking strategies, Proactive Ideas,698,https://alison.com/course/business-networking-strategies#l-main-pub,"Identify effective strategies for leveraging social medi,  Categorise various networking platforms, both online and,  Explain the concept of an elevator pitch and learn to cr", Certification course,business
introduction to excel for mac, SimonSezIT,"5,045",https://alison.com/course/introduction-to-excel-for-mac#l-main-pub,"Differentiate between PC and Mac Excel,  Discuss how to enter text and numbers into a ,  Describe the main Mouse and Trackpad features", Certification course,personal-development
introduction to magnetism, ADU,871,https://alison.com/course/introduction-to-magnetism#l-main-pub,"Distinguish between different types of magnets,  Describe the magnetic field of the earth ie g,  Discuss the properties of magnets", Certification course,education
fundamentals of fundraising how to secure funds for your business, Proactive Ideas,"1,590",https://alison.com/course/fundamentals-of-fundraising-how-to-secure-funds-for-your-business#l-main-pub,"Explain the concept of ?bootstrapping?,  Distinguish between crowdfunding, microloans,,  Draw up the financial records of your business", Certification course,business
introduction to vcenter training requirements and upgrades, Workforce Academy Partnership,572,https://alison.com/course/introduction-to-vcenter-training-requirements-and-upgrades#l-main-pub,"Outline the components of VMTraining's datacenter,  Explain the working system of VMTraining's Network IP Se,  List the goals and functions of the Software-", Certification course,Information Technology
drop servicing business for beginners, Stone River eLearning,"6,915",https://alison.com/course/drop-servicing-business-for-beginners#l-main-pub,"Define the concept of 'drop servicing',  Summarize the primary stages for developing a,  Outline the advantages of drop servicing", Certification course,business
introduction to analysis with power bi desktop, Jordan Goldmeier,"5,198",https://alison.com/course/introduction-to-analysis-with-power-bi-desktop#l-main-pub,"Analyze the Power BI workflow,  Outline the stages involved in building an in,  Describe different Power BI visualizations", Certification course,Information Technology
anticipating patterns and statistical inferences in statistics, ADU,853,https://alison.com/course/anticipating-patterns-and-statistical-inferences-in-statistics#l-main-pub,"Recall the concept of statistics and probability,  Explain the several methods used in interpreting the rel,  Discuss the concept of the law of large numbe", Certification course,education
english grammar relative clauses intermediate level, Advance Learning - Learn English,"6,309",https://alison.com/course/english-grammar-relative-clauses-intermediate-level#l-main-pub,"Define the relationship relative clauses have with nouns,  List the common relative pronouns and provide examples o,  Relate why we do not use personal pronouns in", Certification course,language
basics of homesteading, Alpha Academy,792,https://alison.com/course/basics-of-homesteading#l-main-pub,"Distinguish between rural and urban homesteading,  Recognise the advantages of homesteading as a self-suffi,  Analyse the differences between many potential planting ,  Describe a variety of methods for identifying", Certification course,education
cognitive development in early childhood, Ilbey UÇAR,"2,126",https://alison.com/course/cognitive-development-in-early-childhood#l-main-pub,"Discuss how the cognitive process works by reviewing it,  Describe the cognitive processes of attention and intell,  Analyze how memory affects children and their", Certification course,education
foundations of effective oral communication, Leigh Faulkner,"1,677",https://alison.com/course/foundations-of-effective-oral-communication#l-main-pub,"Identify barriers to effective oral communication,  Explain the effective use of empathic listeni,  Describe the elements of the oral communication process", Certification course,education
